status_pedido;nota_fiscal;pedido_id;data_do_pedido;data_de_faturamento;canal_de_vendas;cod_representante;representante;cnpj_pdv;centro_distribuicao;uf_centro_distribuicao;ean;sku_produto;produto;quantidade_solicitada;quantidade_atendida;quantidade_faturada;quantidade_cancelada;preco_unitario_com_imposto;preco_unitario_sem_imposto;desconto_digitado;desconto_aplicado_em_nota;valor_total_solicitado_com_imposto;valor_total_solicitado_sem_imposto;total_atendido_sem_imposto;total_atendido_com_imposto;valor_faturado
Faturado parcial;361980-8ZG0X;9281085;2026-04-06;2026-04-07;Bússola - Representante;3726;MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR;33659604000527;MEDCENTRO;TO;7896004710891;10425;Ácido Acetilsalicílico 100 mg Caixa 30 Comprimidos;1;1;1;0;10,61;8,02;0,00;24,43;10,61;8,02;8,02;10,61;8,02
Faturado parcial;361980-8ZG0X;9281085;2026-04-06;2026-04-07;Bússola - Representante;3726;MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR;33659604000527;MEDCENTRO;TO;7896004718828;10646;Alprazolam 1 mg Caixa 30 Comprimidos;5;5;5;0;23,49;3,80;0,00;83,83;117,45;18,99;18,99;117,45;18,99
Faturado parcial;361980-8ZG0X;9281085;2026-04-06;2026-04-07;Bússola - Representante;3726;MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR;33659604000527;MEDCENTRO;TO;7896004718842;10648;Alprazolam 2 mg Caixa 30 Comprimidos;2;2;2;0;66,20;7,41;0,00;88,80;132,40;14,83;14,83;132,40;14,83
Faturado parcial;361980-8ZG0X;9281085;2026-04-06;2026-04-07;Bússola - Representante;3726;MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR;33659604000527;MEDCENTRO;TO;7896004700458;11037;Amoxicilina 250mg/5ml Frasco 150 ml Pó Para Suspensão Oral + Copo;1;1;1;0;25,69;9,76;0,00;62,01;25,69;9,76;9,76;25,69;9,76
Faturado parcial;361980-8ZG0X;9281085;2026-04-06;2026-04-07;Bússola - Representante;3726;MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR;33659604000527;MEDCENTRO;TO;7896004719597;10690;Amoxicilina + Clavulanato 875+125 mg Caixa 14 Comprimidos Revestidos;3;3;3;0;145,76;46,03;0,00;68,42;437,28;138,09;138,09;437,28;138,09
Faturado parcial;361980-8ZG0X;9281085;2026-04-06;2026-04-07;Bússola - Representante;3726;MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR;33659604000527;MEDCENTRO;TO;7896004705873;10244;Atenolol 50 mg Caixa 30 Comprimidos;2;2;2;0;20,56;3,51;0,00;82,95;41,12;7,01;7,01;41,12;7,01
Faturado parcial;361980-8ZG0X;9281085;2026-04-06;2026-04-07;Bússola - Representante;3726;MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR;33659604000527;MEDCENTRO;TO;7896004784076;11515;Bilastina 20 mg Caixa 15 Comprimidos;1;1;1;0;36,03;20,73;0,00;42,46;36,03;20,73;20,73;36,03;20,73
Faturado parcial;361980-8ZG0X;9281085;2026-04-06;2026-04-07;Bússola - Representante;3726;MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR;33659604000527;MEDCENTRO;TO;7896004722177;10818;Bisoprolol 2.5 mg Caixa 30 Comprimidos Revestidos;2;2;2;0;38,85;19,67;0,00;49,36;77,70;39,35;39,35;77,70;39,35
Faturado parcial;361980-8ZG0X;9281085;2026-04-06;2026-04-07;Bússola - Representante;3726;MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR;33659604000527;MEDCENTRO;TO;7896004752525;11361;Cetoprofeno 150 mg Caixa 10 Comprimidos de Liberação Prolongada;2;2;2;0;41,09;6,27;0,00;84,74;82,18;12,54;12,54;82,18;12,54
Faturado parcial;361980-8ZG0X;9281085;2026-04-06;2026-04-07;Bússola - Representante;3726;MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR;33659604000527;MEDCENTRO;TO;7896004727233;10904;Ciclopirox Olamina 10 mg/ml Frasco 15 ml Solução Tópica;2;0;0;2;27,50;7,99;0,00;0,00;55,00;15,97;0,00;0,00;0,00
Faturado parcial;361980-8ZG0X;9281085;2026-04-06;2026-04-07;Bússola - Representante;3726;MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR;33659604000527;MEDCENTRO;TO;7896004712932;10517;Clonazepam 2.5 mg/ml Frasco 20 ml Gotas;2;2;2;0;14,28;4,71;0,00;66,99;28,56;9,43;9,43;28,56;9,43
