status_pedido,nota_fiscal,pedido_id,data_do_pedido,data_de_faturamento,canal_de_vendas,cod_representante,representante,cnpj_pdv,centro_distribuicao,uf_centro_distribuicao,ean,sku_produto,produto,quantidade_solicitada,quantidade_atendida,quantidade_faturada,quantidade_cancelada,preco_unitario_com_imposto,preco_unitario_sem_imposto,desconto_digitado,desconto_aplicado_em_nota,valor_total_solicitado_com_imposto,valor_total_solicitado_sem_imposto,total_atendido_sem_imposto,total_atendido_com_imposto,valor_faturado
Faturado,562710-CU1UF,8661025,2026-03-03,2026-03-03,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,33659604000608,PANPHARMA,GO,7896004723020,10833,Ácido Tranexâmico 250 mg Caixa 12 Comprimidos,1,1,1,0,"42,93","41,21","0,00","6,00","42,93","41,21","41,21","42,93","40,35"
Faturado,562710-CU1UF,8661025,2026-03-03,2026-03-03,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,33659604000608,PANPHARMA,GO,7896004729442,10944,Atorvastatina Cálcica 40 mg Caixa 30 Comprimidos Revestidos,1,1,1,0,"131,16","23,27","0,00","84,26","131,16","23,27","23,27","131,16","20,64"
Faturado,562710-CU1UF,8661025,2026-03-03,2026-03-03,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,33659604000608,PANPHARMA,GO,7896004758268,11485,Budesonida 32 mcg Frasco 120 Doses Suspensão Spray Nasal,1,1,1,0,"22,59","17,44","0,00","24,79","22,59","17,44","17,44","22,59","16,99"
Faturado,562710-CU1UF,8661025,2026-03-03,2026-03-03,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,33659604000608,PANPHARMA,GO,7896004704692,10203,Cefalexina 500 mg Caixa 10 Comprimidos Revestidos,6,6,6,0,"24,93","13,91","0,00","46,19","149,58","83,48","83,48","149,58","80,49"
Faturado,562710-CU1UF,8661025,2026-03-03,2026-03-03,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,33659604000608,PANPHARMA,GO,7896004712147,10482,Dexametasona 4 mg Caixa 10 Comprimidos,1,1,1,0,"12,54","4,72","0,00","64,35","12,54","4,72","4,72","12,54","4,47"
Faturado,562710-CU1UF,8661025,2026-03-03,2026-03-03,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,33659604000608,PANPHARMA,GO,7896004706474,10287,Glibenclamida 5 mg Caixa 30 Comprimidos,3,3,3,0,"12,09","2,20","0,00","83,79","36,27","6,60","6,60","36,27","5,88"
Faturado,562710-CU1UF,8661025,2026-03-03,2026-03-03,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,33659604000608,PANPHARMA,GO,7896004762319,11366,Gliclazida 30 mg Caixa 30 Comprimidos de Liberação Prolongada,2,2,2,0,"22,76","10,99","0,00","53,71","45,52","21,98","21,98","45,52","21,07"
Faturado,562710-CU1UF,8661025,2026-03-03,2026-03-03,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,33659604000608,PANPHARMA,GO,7896004704036,10177,Nimesulida 100 mg Caixa 12 Comprimidos,3,3,3,0,"16,86","2,05","0,00","89,84","50,58","6,15","6,15","50,58","5,14"
Faturado,562710-CU1UF,8661025,2026-03-03,2026-03-03,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,33659604000608,PANPHARMA,GO,7896004761817,11581,Tansulosina 0.4 mg Caixa 30 Comprimidos de Liberação Prolongada,2,2,2,0,"86,60","33,96","0,00","62,79","173,20","67,91","67,91","173,20","64,45"
Faturado,562710-CU1UF,8661025,2026-03-03,2026-03-03,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,33659604000608,PANPHARMA,GO,7896004742199,11190,Tibolona 2.5 mg Caixa 30 Comprimidos,2,2,2,0,"64,24","26,83","0,00","60,23","128,48","53,67","53,67","128,48","51,10"
Faturado parcial,356939-UMHRS,8661026,2026-03-03,2026-03-03,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,33659604000608,MEDCENTRO,TO,7896004703312,10137,Anlodipino 10 mg Caixa 30 Comprimidos,1,1,1,0,"49,84","7,42","0,00","85,11","49,84","7,42","7,42","49,84","7,42"
Faturado parcial,356939-UMHRS,8661026,2026-03-03,2026-03-03,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,33659604000608,MEDCENTRO,TO,7896004722177,10818,Bisoprolol 2.5 mg Caixa 30 Comprimidos Revestidos,1,1,1,0,"38,85","19,67","0,00","49,36","38,85","19,67","19,67","38,85","19,67"
Faturado parcial,356939-UMHRS,8661026,2026-03-03,2026-03-03,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,33659604000608,MEDCENTRO,TO,7896004701233,10089,Bromoprida 4 mg/ml Frasco 20 ml Gotas,1,1,1,0,"17,66","5,16","0,00","70,78","17,66","5,16","5,16","17,66","5,16"
Faturado parcial,356939-UMHRS,8661026,2026-03-03,2026-03-03,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,33659604000608,MEDCENTRO,TO,7896004718453,10040,Clotrimazol 10 mg/g Bisnaga 20 g Creme,4,4,4,0,"14,50","6,48","0,00","55,29","58,00","25,93","25,93","58,00","25,93"
